Player;College;Position;ADP
Khalil Dinkins;Penn State;TE;318
Hahsaun Wilson;UTEP;RB;318.7
Zacharyus Williams;Utah;WR;319
Wyatt Young;North Texas;WR;320
Leland Smith;San Jose State;WR;320.3
Ty Lockwood;Boston College;TE;321
Sam Scott;Wyoming;RB;323
Tayven Jackson;UCF;QB;323.3
Nate Palmer;TCU;RB;325.2
Herschel Turner;Nevada;RB;326.4
Jayden Gibson;Oklahoma;WR;327
Bryce Underwood;Michigan;QB;329
Micahi Danzy;Florida State;RB;329
Rickie Collins;Syracuse;QB;329.7
Zylan Perry;Louisiana;RB;330
Tyshawn Russell;Syracuse;WR;330
Conner Harrell;Charlotte;QB;330.4
Casey Cain;Liberty;WR;331
Jameson Geers;Minnesota;TE;331
Jordan Dwyer;TCU;WR;332.5
Alex Adams;Akron;WR;333
Cameron Dorner;North Texas;WR;333
Hunter Andrews;Utah;RB;334
Teremun Lott;Old Dominion;WR;335
Patrick Overmyer;UTSA;TE;335
Jacob Newell;Akron;TE;336.8
Gavin Wimsatt;Jacksonville State;QB;337
Tony Johnson;Miami (FL);WR;338
Beau Pribula;Missouri;QB;340
Gary Bryant Jr.;Oregon;WR;340
Ty Thompson;Tulane;TE;342
Josh Sterzer;Utah State;TE;342
Caden Williams;Liberty;RB;342
Hollis Davidson;Auburn;TE;345
Jordan Brunson;Miami (OH);RB;349
Chubba Purdy;Nevada;QB;351
Javen Jacobs;Utah State;RB;352
Alton McCaskill;Sam Houston;RB;352
Tank Hawkins;Florida;WR;353
Zach Atkins;Colorado;TE;353.5
Linkon Cure;Kansas State;TE;354
Malik Phillips;Sam Houston;WR;354.6
Dallas Wilson;Florida;WR;357
DAndre Rogers;TCU;TE;358
Jackson Canaan;San Jose State;TE;358
Ethan Conner;Troy;TE;359
